"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2019-1-8/07/2020","01",0,"SA","Station Wagon","1998","South","Female","085","SA","C ","Full","Not Towing","Right Turn","001","XXXX",,
"2019-1-8/07/2020","02",0,"SA","Motor Cars - Sedan","2009","East","Female","022","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5085",,
"2019-2-8/07/2020","01",0,"SA","Motor Cars - Sedan","2007","North East","Male","021","SA","C ","Provisional 2","Not Towing","Straight Ahead","004","5114",,
"2019-2-8/07/2020","02",0,"SA","Motor Cars - Sedan","2002","North East","Female","031","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2019-3-8/07/2020","01",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2019-3-8/07/2020","02",1,,"Pedestrian on Road",,"South","Male","041",,,,,"Walking on Road",,"5018",,
"2019-4-8/07/2020","01",1,"SA","Motor Cycle","2015","North West","Male","021","SA","C RD","Learners","Not Towing","Straight Ahead","001","5108",,
"2019-4-8/07/2020","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2019-5-8/07/2020","01",0,"SA","Motor Cars - Sedan","2017","West","Male","031","UNKNOWN","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2019-5-8/07/2020","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2019-6-8/07/2020","01",1,"SA","Motor Cars - Sedan","2002","West","Female","026","UNKNOWN","C ","Full","Not Towing","Straight Ahead","001","5087",,
"2019-6-8/07/2020","02",0,,"Tree",,,,,,,,,,,,,
"2019-7-8/07/2020","01",2,"SA","Station Wagon","2017","South West","Male","031","SA","C ","Full","Not Towing","Straight Ahead","004","5034",,
"2019-7-8/07/2020","02",1,"SA","Motor Cars - Sedan","2009","South East","Male","077","SA","LR","Full","Not Towing","Straight Ahead","001","5162",,
"2019-8-8/07/2020","01",1,"VIC","Station Wagon","2014","East","Male","031","VIC","C ","Full","Not Towing","Straight Ahead","003","3082","Y",
"2019-9-8/07/2020","01",1,,"Pedal Cycle",,"North East","Female","056",,,,,"Straight Ahead","001","5345","Y",
"2019-10-8/07/2020","01",1,"SA","Motor Cycle","2006","West","Male","046","SA","MCR ","Full","Not Towing","Straight Ahead","001","5330","Y",
"2019-11-8/07/2020","01",0,"VIC","Station Wagon","2017","North West","Female","019","VIC","C ","Provisional 2","Not Towing","Straight Ahead","003","3023",,
"2019-11-8/07/2020","02",0,,"Wire Rope Barrier",,,,,,,,,,,,,
"2019-12-8/07/2020","01",0,"SA","Utility","2017","South","Male","037","SA","C ","Full","Not Towing","Swerving","001","5118","Y",
"2019-13-8/07/2020","01",1,"SA","Motor Cars - Sedan","2000","South East","Male","018","SA","C ","Unlicenced","Not Towing","Straight Ahead","002","5086",,
"2019-13-8/07/2020","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2019-14-8/07/2020","01",0,"SA","Station Wagon","2009","North East","Female","040","SA","C ","Full","Not Towing","Straight Ahead","005","5107",,
"2019-14-8/07/2020","02",0,"SA","Station Wagon","2010","North East","Male","036","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5125",,
"2019-14-8/07/2020","03",1,"SA","Station Wagon","2012","North East","Male","057","SA","MR","Full","Not Towing","Stopped on Carriageway","002","5108",,
"2019-15-8/07/2020","01",1,"VIC","Panel Van","2003","South West","Female","031","VIC","C ","Full","Not Towing","Straight Ahead","002","3011","Y",
"2019-16-8/07/2020","01",0,"SA","Motor Cars - Sedan","1994","North","Male","017","SA","C ","Provisional 1 ","Not Towing","Right Turn","001","5051",,
"2019-16-8/07/2020","02",0,"SA","Station Wagon","2010","East","Male","044","SA","MR","Full","Not Towing","Straight Ahead","002","5050",,
"2019-17-8/07/2020","01",1,"SA","Station Wagon","2012","North East","Female","048","SA","C ","Full","Not Towing","Straight Ahead","001","5606",,
"2019-17-8/07/2020","02",1,,"Ridden Animal",,"South West","Female","010",,,,,"Straight Ahead","001","5082",,
"2019-18-8/07/2020","01",0,"SA","Motor Cars - Sedan","2010","South West","Male","024","UNKNOWN","XX","Unknown","Not Towing","Right Turn","001","5074",,
"2019-18-8/07/2020","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2019-19-8/07/2020","01",0,"SA","BDOUBLE - ROAD TRAIN","2013","North","Male","041","SA","MC","Full",,"Straight Ahead","002","5168","Y",
"2019-20-8/07/2020","01",0,"SA","Station Wagon","2012","North East","Male","058","SA","C R ","Full","Not Towing","Swerving","002","5039",,
"2019-20-8/07/2020","02",0,,"Guard Rail",,,,,,,,,,,,,
"2019-21-8/07/2020","01",0,"SA","Motor Cars - Sedan","2001","West","Male","016","SA","C ","Learners","Not Towing","Straight Ahead","002","5154",,
"2019-21-8/07/2020","02",0,,"Tree",,,,,,,,,,,,,
"2019-22-8/07/2020","01",0,"SA","Station Wagon","2018","North",,,,,,"Not Towing","Parked","000",,,
"2019-22-8/07/2020","02",0,"SA","Station Wagon","2017","West","Female","040","SA","C ","Full","Not Towing","Leaving Private Driveway","001","5063",,
"2019-23-8/07/2020","01",0,"SA","Motor Cars - Sedan","2008","South West","Female","019","SA","C ","Provisional 2","Not Towing","Leaving Private Driveway","001","5112",,
"2019-23-8/07/2020","02",0,"SA","Motor Cars - Sedan","1999","South East","Male","029","SA","C ","Full","Not Towing","Straight Ahead","002","5113",,
"2019-24-8/07/2020","01",0,"SA","Utility","2018","South","Male","027","SA","HRR ","Full","Not Towing","Straight Ahead","001","5214",,
"2019-24-8/07/2020","02",0,"UNKNOWN","Motor Cycle","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2019-25-8/07/2020","01",0,"SA","Utility","2006","South West","Female","041","SA","C ","Full","Not Towing","Straight Ahead","002","5070",,
"2019-25-8/07/2020","02",0,"SA","Motor Cars - Sedan","2008","South West","Female","022","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5087",,
"2019-26-8/07/2020","01",0,"NSW","Station Wagon","2016","South East","Male","044","NSW","C ","Full","Not Towing","Parked","001","2161",,
"2019-26-8/07/2020","02",1,,"Pedal Cycle",,"South East","Male","068",,,,,"Straight Ahead","001","5024",,
"2019-27-8/07/2020","01",1,,"Power Asst. Bicycle",,"North","Male","016",,,,,"Straight Ahead","001","5107",,
"2019-27-8/07/2020","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Parked","001","XXXX",,
"2019-28-8/07/2020","01",0,"SA","Motor Cars - Sedan","1982","South West","Female","087","SA","C ","Full","Not Towing","Right Turn","001","5251",,
"2019-28-8/07/2020","02",0,"SA","Utility","2009","South East","Male","024","SA","C ","Full","Not Towing","Straight Ahead","001","5085",,
"2019-29-8/07/2020","01",0,"SA","Motor Cars - Sedan","2001","North East","Male","027","SA","C ","Full","Not Towing","Straight Ahead","001","5153",,
"2019-29-8/07/2020","02",0,,"Tree",,,,,,,,,,,,,
"2019-30-8/07/2020","01",0,"SA","Utility","2008","North West","Male","026","SA","C R ","Full","Not Towing","Swerving","001","5351","Y",
"2019-31-8/07/2020","01",0,"SA","Motor Cars - Sedan","2001","North West","Female","028","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5114",,
"2019-31-8/07/2020","02",0,,"Guard Rail",,,,,,,,,,,,,
"2019-32-8/07/2020","01",1,"SA","Light Truck LT 4.5T","1997","South East","Male","017","SA","C RD","Provisional 1 ","Not Towing","Straight Ahead","001","5346",,
"2019-32-8/07/2020","02",1,"SA","Utility","2006","South East","Male","046","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5344",,
"2019-33-8/07/2020","01",0,"SA","Station Wagon","2015","North","Female","035","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5023",,
"2019-33-8/07/2020","02",0,"SA","Panel Van","2018","North","Female","048","SA","C ","Full","Not Towing","Straight Ahead","001","5118",,
"2019-34-8/07/2020","01",0,"SA","Motor Cars - Sedan","2007","South","Male","050","SA","C R ","Full","Not Towing","Straight Ahead","001","5013",,
"2019-34-8/07/2020","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2015","South","Male","049","SA","MR","Full","Not Towing","Swerving","002","5023",,
"2019-35-8/07/2020","01",0,"SA","Station Wagon","2011","South West","Male","034","SA","C ","Full","Not Towing","Straight Ahead","004","5049",,
"2019-35-8/07/2020","02",0,"SA","Station Wagon","2014","North East","Male","018","SA","C ","Provisional 2","Not Towing","Overtaking - on Right","001","5082",,
"2019-36-8/07/2020","01",0,"SA","Motor Cars - Sedan","1994","North East","Male","031","SA","C ","Full","Not Towing","Straight Ahead","001","5254",,
"2019-36-8/07/2020","02",0,"SA","Taxi Cab","2013","North East","Male","066","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5126",,
"2019-37-8/07/2020","01",1,"SA","Motor Cars - Sedan","2008","East","Male","063","SA","C ","Full","Not Towing","Straight Ahead","002","5233",,
"2019-37-8/07/2020","02",0,"SA","Motor Cars - Sedan","2008","South","Female","022","SA","C ","Full","Not Towing","Straight Ahead","002","5017",,
"2019-37-8/07/2020","03",0,"SA","Other Defined Special Vehicle","2008","West","Male","047","SA","HCR ","Full","Not Towing","Stopped on Carriageway","001","5095",,
"2019-38-8/07/2020","01",0,"SA","Utility","2006","West","Male","023","SA","C ","Full","Not Towing","Straight Ahead","001","5242",,
"2019-38-8/07/2020","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2019-39-8/07/2020","01",3,"NSW","Station Wagon","XXXX","South East","Male","061","NSW","C ","Full","Not Towing","Straight Ahead","004","2125",,
