"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-10019-15/08/2019","01",0,"SA","Motor Cars - Sedan","1999","North West",,,,,,"Not Towing","Parked","000",,,
"2017-10019-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2009","South East","Male","065","SA","HR","Full","Not Towing","Reversing","001","5049",,
"2017-10020-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","North West","Female","059","SA","C R ","Full","Not Towing","Straight Ahead","001","5575",,
"2017-10020-15/08/2019","02",0,"SA","Station Wagon","2013","South West","Female","068","SA","C ","Full","Not Towing","Straight Ahead","001","5582",,
"2017-10021-15/08/2019","01",0,"VIC","Motor Cars - Sedan","1993","North East","Female","048","UNKNOWN","C ","Full","Not Towing","Right Turn","001","3177",,
"2017-10021-15/08/2019","02",0,"SA","Motor Cars - Sedan","1998","South East","Female","030","SA","C R ","Full","Not Towing","Straight Ahead","001","5502",,
"2017-10022-15/08/2019","01",0,"SA","Motor Cars - Sedan","2012","South West","Male","029","SA","C RD","Full","Not Towing","Right Turn","002","5108",,
"2017-10022-15/08/2019","02",1,,"Motorised Wheelchair/Gopher",,"North East","Male","080",,,,,"Crossing without Control",,"5086",,
"2017-10023-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","South","Male","068","SA","C ","Full","Not Towing","Straight Ahead","001","5163","Y",
"2017-10024-15/08/2019","01",1,"SA","Motor Cycle","1998","West","Male","054","SA","HRRD","Full","Not Towing","Straight Ahead","001","5083",,
"2017-10024-15/08/2019","02",0,"SA","Motor Cars - Sedan","2011","East","Male","030","SA","C ","Full","Not Towing","Right Turn","001","5011",,
"2017-10025-15/08/2019","01",1,,"Pedal Cycle",,"East","Female","024",,,,,"Straight Ahead","001","5037","Y",
"2017-10026-15/08/2019","01",0,"SA","Panel Van","2013","North East","Male","022","SA","C ","Full","Not Towing","Straight Ahead","002","5096",,
"2017-10026-15/08/2019","02",0,"SA","OMNIBUS","2011","North East","Male","033","SA","HR","Full","Not Towing","UnParking - Parallel","008","5037",,
"2017-10027-15/08/2019","01",1,"SA","Motor Cars - Sedan","2001","South East","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","003","5087",,
"2017-10027-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","West","Male","061","SA","C ","Full","Not Towing","Right Turn","001","5064",,
"2017-10028-15/08/2019","01",0,"SA","Station Wagon","2000","East","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5048",,
"2017-10028-15/08/2019","02",0,"SA","Motor Cars - Sedan","2003","East","Male","067","SA","HR","Full","Not Towing","Stopped on Carriageway","001","5141",,
"2017-10028-15/08/2019","03",0,"SA","Motor Cars - Sedan","1997","East","Female","049","SA","C ","Full","Not Towing","Entering Private Driveway","001","5063",,
"2017-10029-15/08/2019","01",1,"UNKNOWN","Motor Cycle","XXXX","North","Male","023","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5045",,
"2017-10029-15/08/2019","02",0,"SA","Motor Cars - Sedan","2008","South","Female","023","SA","C ","Full","Not Towing","Right Turn","001","5095",,
"2017-10030-15/08/2019","01",0,"SA","Motor Cars - Sedan","1998","North East","Male","XXX","SA","C R ","Full","Not Towing","Straight Ahead","001","5351",,
"2017-10030-15/08/2019","02",0,,"Guard Rail",,,,,,,,,,,,,
"2017-10031-15/08/2019","01",0,"SA","Station Wagon","2002","North East","Male","042","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5107",,
"2017-10031-15/08/2019","02",0,"SA","Motor Cars - Sedan","2002","North East","Male","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5038",,
"2017-10032-15/08/2019","01",0,"SA","Motor Cars - Sedan","2009","North","Female","065","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2017-10032-15/08/2019","02",0,"SA","Station Wagon","2009","North","Female","038","SA","C ","Full","Not Towing","Straight Ahead","001","5062",,
"2017-10033-15/08/2019","01",0,"SA","Motor Cars - Sedan","2009","North","Male","064","SA","C ","Full","Not Towing","Straight Ahead","001","5049",,
"2017-10033-15/08/2019","02",0,"SA","Motor Cars - Sedan","2002","East","Female","084","SA","C ","Full","Not Towing","Straight Ahead","001","5087",,
"2017-10034-15/08/2019","01",0,"SA","SEMI TRAILER","2015","North West","Male","049","SA","MC","Full","Trailer","Straight Ahead","001","5290",,
"2017-10034-15/08/2019","02",0,,"Animal - Domestic - Not Ridden",,,,,,,,,,,,,
"2017-10035-15/08/2019","01",1,"SA","Motor Cars - Sedan","2000","South","Female","074","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5065",,
"2017-10035-15/08/2019","02",0,"SA","Motor Cars - Sedan","1999","South","Male","018","SA","C ","Full","Not Towing","Straight Ahead","002","5061",,
"2017-10036-15/08/2019","01",1,"SA","Scooter","2007","North","Male","066","SA","C R ","Full","Not Towing","Straight Ahead","001","5608","Y",
"2017-10036-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-10037-15/08/2019","01",0,"SA","Motor Cars - Sedan","1993","West","Male","059","SA","C ","Provisional 2","Not Towing","Right Turn","001","5042",,
"2017-10037-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-10038-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","South","Female","046","SA","C R ","Full","Not Towing","Entering Private Driveway","001","5109",,
"2017-10038-15/08/2019","02",2,"SA","Motor Cars - Sedan","2014","North","Female","060","SA","C ","Full","Not Towing","Straight Ahead","002","5093",,
"2017-10039-15/08/2019","01",1,"SA","Motor Cars - Sedan","1998","West","Male","039","SA","MRRD","Full","Not Towing","Straight Ahead","001","5041",,
"2017-10039-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-10040-15/08/2019","01",0,"SA","SEMI TRAILER","1994","South","Male","046","UNKNOWN","XX","Unknown","Trailer","Straight Ahead","001","5008",,
"2017-10040-15/08/2019","02",0,"SA","Motor Cars - Sedan","2013","South","Male","038","SA","C ","Full","Not Towing","Swerving","001","5162",,
"2017-10040-15/08/2019","03",0,"SA","Utility","2017","South","Male","051","SA","HCR ","Full","Not Towing","Stopped on Carriageway","001","5022",,
"2017-10041-15/08/2019","01",0,"QLD","Panel Van","2016","North East","Male","047","QLD","XX","Full","Not Towing","Left Turn","003","XXXX",,
"2017-10041-15/08/2019","02",0,"SA","Motor Cars - Sedan","2000","North","Female","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","XXXX",,
"2017-10042-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","North East","Male","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5024",,
"2017-10042-15/08/2019","02",0,"SA","Motor Cars - Sedan","2014","North East",,,,,,"Not Towing","Parked","000",,,
"2017-10043-15/08/2019","01",1,"SA","Motor Cycle","2012","West","Male","018","SA","C RD","Learners","Not Towing","Straight Ahead","001","5159","Y",
"2017-10044-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","North","Male","027","SA","C ","Provisional 2","Not Towing","Straight Ahead","002","5015",,
"2017-10044-15/08/2019","02",0,"SA","Motor Cars - Sedan","2010","North","Male","XXX","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5032",,
"2017-10045-15/08/2019","01",0,"SA","Utility","2003","North West","Male","033","SA","MR","Full","Not Towing","Straight Ahead","001","5353","Y",
"2017-10046-15/08/2019","01",0,"SA","Motor Cars - Sedan","2010","North","Male","021","SA","C ","Full","Not Towing","Straight Ahead","001","5033",,
"2017-10046-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-10047-15/08/2019","01",0,"SA","Motor Cars - Sedan","1997","North","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2017-10047-15/08/2019","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2017-10048-15/08/2019","01",1,"SA","Motor Cars - Sedan","2007","South West","Male","XXX","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5087",,
"2017-10048-15/08/2019","02",0,"SA","Motor Cars - Sedan","2001","South West","Male","050","UNKNOWN","MC","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-10049-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","West","Female","092","SA","C ","Full","Not Towing","Straight Ahead","001","5068",,
"2017-10049-15/08/2019","02",0,"SA","Motor Cars - Sedan","2004","West","Female","066","SA","C ","Full","Not Towing","UnParking - Parallel","001","5067",,
"2017-10049-15/08/2019","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","West",,,,,,"Unknown","Parked","000",,,
"2017-10050-15/08/2019","01",1,"SA","Utility","2008","North","Male","072","SA","C ","Full","Not Towing","Straight Ahead","001","5075",,
"2017-10050-15/08/2019","02",1,"SA","Station Wagon","2011","North","Male","076","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-10050-15/08/2019","03",2,"SA","Motor Cars - Sedan","2009","North","Female","046","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5066",,
"2017-10050-15/08/2019","04",0,"SA","Motor Cars - Sedan","2004","North","Female","020","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5062",,
"2017-10051-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","South West","Male","047","SA","C ","Full","Not Towing","Straight Ahead","001","5083",,
"2017-10051-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-10052-15/08/2019","01",1,"SA","Utility","2011","East","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5125",,
"2017-10052-15/08/2019","02",1,"SA","Motor Cars - Sedan","2002","West","Female","041","SA","C ","Full","Not Towing","Straight Ahead","001","5355",,
"2017-10053-15/08/2019","01",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2017-10053-15/08/2019","02",1,"SA","Motor Cars - Sedan","2007","North","Female","039","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5159",,
"2017-10053-15/08/2019","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
